COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
1,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
51,PERÚ,LIMA,LIMA METROPOLITANA,ATE
100,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
100,PERÚ,LIMA,HUARAL,HUARAL
108,PERÚ,PUNO,MOHO,SANTA ROSA
125,PERÚ,PUNO,AZÁNGARO,CHUCUITO
1224,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
1226,PERÚ,LIMA,LIMA METROPOLITANA,ATE
1230,0,0,0,0
1255,PERÚ,LIMA,LIMA METROPOLITANA,ATE
1255,PERÚ,LIMA,0,0
1267,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
1279,PERÚ,LIMA,LIMA METROPOLITANA,ATE
2024,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2028,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3051,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3052,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3080,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3080,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3087,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3091,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3094,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
5119,PERÚ,CALLAO,CALLAO,VENTANILLA
5137,PERÚ,CALLAO,CALLAO,VENTANILLA
5151,PERÚ,CALLAO,CALLAO,VENTANILLA
5168,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5187,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
6020,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6023,PERÚ,LIMA,LIMA METROPOLITANA,LURIN
6038,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
6064,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6069,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
7035,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
7035,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
7054,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
7054,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
7076,PERÚ,LIMA,LIMA METROPOLITANA,CHORRILLOS
7090,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
7220,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
7221,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
7230,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
7230,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
7265,PERÚ,LIMA,LIMA METROPOLITANA,PACHACAMAC
