IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
00014F32BBBF4F714170C971C555A0AE4359AF4099D82C97E56B617EC223F62B5365F58F64D291AA9A6C6F95057BA8B06DCB18F100020F8DB9E6870697552AE3,6.89,6.89,6.89,1
0002DF41C79D5E34153DB578014A6EADFF766488667DC31737EF7CA01A000919C8E20D1D38C01DC079B1A5E8654D453BFDAF47832F0DB24F4DE662D2A38A7721,8.572,10.799,9.641666666666666,3
000718555FBD4F283BCAB5C3B8A2CAB20C6522CF82F52C9D31A0AF4E68714ECCFF93D8FFB3D911570C0B219342C0CAEE94DF38C7C9AE0CE8C523DFDFBCCDB97B,3.946,3.946,3.946,1
000738E6B713990635A774474F4CE87C933198539582452E065875E818410E6A4D43793B23A6889A060A6D4EA776297533B675A3DA33A79012194262A59ED1D9,5.78,5.78,5.78,1
00076819D03C730D9C43B6F6A98B901E0DAC91F1FA6B5791DF631FCF8AB3263B01664C5B7CC0A093BD90B22F0DE8E40F9B1D296FF85301B0F24084A10924AB81,8.091,8.091,8.091,1
000952F42F529EBAB64CED94AB833CBDFEBA505EBF91123879E9F5EF80656C864F8C26DDD534FB7169FCB850EF7271341934C83F68609410744D7497699BF58F,10.1,13.593,11.846499999999999,2
000D4FD1A25AC76DC5735B0C3F217538ACB2A68CF49352788B8856FDE53469048CF27073BCA064494FECBA4D4118EC5D7C21E3F54FE2DAF99BFD8872FB3A1BA0,4.51,5.4,4.955,2
000EE14D02CBD33C1C84FFEB9A04D1699DF8E4DF2971E266765BE598EEB637663CD217B9FAC5E575112072F9D9B5F0C9A8967A27CA4EB18527078A4AE151DFCF,5.87,5.87,5.87,1
00107DADDBD526CB91356D3FFEC8BD4BC6EAA19355CEA20AB8A3E55FEFD670C777D3A35D14B04248990C5629AB10520628271BA8EA80F8C360D7C6B81301D6D5,2.417,6.71,4.5634999999999994,2
00127CE73D506DF48ED11D7397F80420A3BBB0C1965D7ED5CDE9A177DF5DA62A1315D2C156FC2A64A3F785E05640AAC4EF1A2E09C57F3DF1EC05185950E60FF1,7.464,14.594,11.692499999999999,4
00144E100CFB9C956A2F3CEB25687AD1F2F897B70A590733DAEC1A57817A209D8BEA86EFDB911AA0C545FE2116D77FDCDADC4E80A3317FC44C0070494DC4F5ED,8.533,10.356,9.4445,2
0014D82AA02631E8C48D096D31DE03B65D99C79C7F8998A4F2C1AA484603E3F33B90EC226E394B4703F495CB1D3F3DCAA4B445D89A277B2F896EEAEEFFE388B4,5.67,8.513,7.0915,2
0016CFE567A24F1A043571A34C1FFDB836D2282C7D6B39CF8F5D01E42CD81E5EB531E242A358DD99BF322FCED830ABE3AEDFC58F1EEE52CEEBDB2FE971900204,3.62,3.62,3.62,1
00185EABEC355319EB261A7C0F89C680D25A59E73DC3B92618DCA5FBB9D9B2964E9E694A7EEAF0B13171DA06D53449CFE72DA28F1116DFEAF3864FFAA300DA4E,3.573,3.573,3.573,1
001866493711B7A31EBA2F982395AFAABE5CB7168B745B1291869342F752CE9F4B8079EA0C281E290038BBEA7C89F30061D60552A07F636CFBA1D4834658BC66,6.34,7.19,6.765000000000001,2
0019EBB710DFA3693CBBEEAE6682ED985C49ED3572663B24D2D37EC2519C0088D002F35F6764F4DCC7B9D1BFDD57BBB703C49F320068D5707FBBA1D6202AE8C7,3.8,3.8,3.8,1
001B575391536B97000EA3A7AD24D2D08E632D11EC6434BE9A41CFB3C4E1472C9D2C9A26D280A395A1EBA76102E293A532BE578A5E6B0A45F20A3447BB38317B,5.673,5.673,5.673,1
001B77399FBABDFB548080B253FC28B6A49C42E1CF1C551F99D74088243BD4B54565A1D88A4728538AA62D2BB6159AE2366A88203FEA33C683CA35CD9970255B,6.577,6.577,6.577,1
00254209DFEB0CEC707256C5115A9CFC3EDB0AB8625F3D251FF7C5BE45ED445BCAABAC1147D100825E7F1A01B65F7C4F2156E8B8CC644A9D28774520C58C95CD,13.343,13.343,13.343,1
0026F1DC0E832D59E66FD608F2072FDB90827EF27777A7A2A37B5DA94D550EF5034CDAFE475B449BE0E194E74B41514B1944F865B51B95189BFE7B424D25BDAE,5.79,5.79,5.79,1
002A86B84B0BF19C8B9BDBA580BD7CFE092F251E352C042C78003E1FEEC46E3E35F23A80ABC753C5AC915059722BF9889A2AD98D509F68FC977C280ABFC56F7E,3.513,5.725,4.619,2
002C66C5E2D05867C3975975A4C5927C9245E9842443B70AE4A9A97D81DFB059ACE7CDCEB5524DE8AB7E8A1129A98B645B07874F0C6172D48A35810826345FFC,3.32,7.799,5.855,4
002CF3F80372424E4EB85653B9E9B57F2F832694EB1345F8E1139AEFB46B211B64A876F5501D64153A9542E1BDB9AEAF643A4DF548333B2D19605C212D68FC40,7.467,7.467,7.467,1
002F29317937747C85A5776748FC5EBE19471732BD5BF9FE94795D3086DEC39A4AAC6BA4E4A82C7A6D121A35ED81BF65ABD2C9366DDAFF42EF86E58CD1D83D91,8.506,9.717,9.1115,2
00323B780BA49C1EB5919F0992AF58F523DFDCB848D7CFD0DC984AD3CD1389BFB48A05F39F01309F5A0672D9758E229FDD4CC08E2B8874D823A9ABD116907094,3.576,3.576,3.576,1
003408CA062B2C41829C1C882B1D89771DC453D81C96227713722FB19DC79A9F88EB7C54CCC239168D1B2EA958666E47663CA2F5F25A3DB57D8CA7C9840FB10D,3.492,3.492,3.492,1
003450BF996E418719CC3B82065A922140D6679307795390563A7B4F3569BFA5A28A27AFB5B5BFBA949A6970D17A0C3C149494570282E68E355296FC3D827957,8.706,8.706,8.706,1
0034A9F6D7D945C1410050E16B1CE0DC574E0FD2214ED07615FDC4F89A3940C942579F5306FE191D026D525299694E8BA4A02ABD49B7D1C50EE36BCA5E5EAAD0,5.44,5.44,5.44,1
0034AE97C645981D66C21E5EE048DC75FECD2372354136BE932D912953BFB75C58F0A6353783DFAC405A756968CBB2D781B8D8ADCE95A40A451463FC29B90B48,0.0,0.0,0.0,2
003C2CBE7639A650965AE5DE111BD0ABB3D6A9866370AB408D7A96C8F99F6EDAA5CC184AD24690079AFD9AE142B05EE5E7148FC261BF23BB0DDF048F2C3DEAEE,1.323,1.323,1.323,1
003D5E4B08B4A8D2572412F2C41CDE85208A761709BF9196BB76D9F4658285D224683785A66849A2CA38880D7A06CBAEEBEE05C906754F8C6FEA2FDACAAE9AFB,14.05,14.05,14.05,1
