IDHASH,MIN_CALIF_CEPRE,MAX_CALIF_CEPRE,PROM_CALIF_CEPRE,CANT_CEPRE
00004D0F50E3F38B9C57A924FC91A787607F4F0843DF297A8490AB1B2F7114E637C80DA9E4152ADD9EC5CF08525589E796A76603E29888FFCB2A53C92B586637,1.305,1.305,1.305,1
0002DF41C79D5E34153DB578014A6EADFF766488667DC31737EF7CA01A000919C8E20D1D38C01DC079B1A5E8654D453BFDAF47832F0DB24F4DE662D2A38A7721,9.701,9.701,9.701,1
0006313030286DD02690BCEDA7AC94ACD583CA20F462B313FEE187B823110DA9674C57A44DB7EAB35BDC7FBE04825DFC8CC4107B18FC8BA946B868D8B11688FD,6.268,6.268,6.268,1
000952F42F529EBAB64CED94AB833CBDFEBA505EBF91123879E9F5EF80656C864F8C26DDD534FB7169FCB850EF7271341934C83F68609410744D7497699BF58F,0.266,0.266,0.266,1
000EE14D02CBD33C1C84FFEB9A04D1699DF8E4DF2971E266765BE598EEB637663CD217B9FAC5E575112072F9D9B5F0C9A8967A27CA4EB18527078A4AE151DFCF,7.53,7.53,7.53,1
0012386591C223095F7E14F2B0FE5E10C3AA55F6C45FD6B1ED6B559A0A0B74548F7DBF927441A628143517BEC3997F8343D55F0CDF547FE3A6A2E7AAFDF25E7A,0.741,6.137,3.4389999999999996,2
00127CE73D506DF48ED11D7397F80420A3BBB0C1965D7ED5CDE9A177DF5DA62A1315D2C156FC2A64A3F785E05640AAC4EF1A2E09C57F3DF1EC05185950E60FF1,0.653,12.814,8.034500000000001,4
001440A3675A174E4410E9CE7B654B8817CC0A0FFEDCB1F20A2D8E1BB71261BB658C8406DA384E92E5F76C0BCCADDDC68315CAC3BA89372331EFB6E5811CCDA2,0.275,0.275,0.275,1
0016A35102204459238867EBA330874A170857D5CF16309FC2B881172D836067CC48F62EFCBD008A1A86E542749ABC6A112EE80B681710DDC7262148297E64BD,0.0,0.0,0.0,1
001B77399FBABDFB548080B253FC28B6A49C42E1CF1C551F99D74088243BD4B54565A1D88A4728538AA62D2BB6159AE2366A88203FEA33C683CA35CD9970255B,6.713,6.713,6.713,1
0023000AB669BAA39AA49F42FFEB9EB83DF06643EB109D6E1EF7C311900F6647D49C6A29D57A214D2C9B2EF24D845EE0281BB0DE38226B7596FA0C9D93872E76,15.103,15.103,15.103,1
00242E9B45FEB91F7E7BB1E2BE88F7D6F35656D8EC16AB53E82CFA87B9A7C3E21DB1BB1A02CFDB76AAF3898CAACA872F7657CDA4C4075432319328B48ACF19E3,0.0,9.516,4.758,2
002A86B84B0BF19C8B9BDBA580BD7CFE092F251E352C042C78003E1FEEC46E3E35F23A80ABC753C5AC915059722BF9889A2AD98D509F68FC977C280ABFC56F7E,3.973,5.855,5.32375,4
002AF6A256D68E078B103F66D19D789147A2432D48A78C669F4A6194D61562AF59BF7AADC26B90C31ED27130C1221B2E424C4F10DFFF62485AEABE2A1C7757DE,5.843,15.115,12.156714285714285,7
002DB879C957F9DD586FE533986125255341043F1467428BEA07E6A19B98FC84CA0355E5821A208345A2E56EDC7A64744F5106DD5EB6A11FB153C1007188FFE6,2.293,2.293,2.293,1
002E473A9D8316705FEB17EF8B88AB40F26188CDAB44994B5D43E83BF8140C4F7E6D95AABF11A68B6FD04685C6A57C58688AB11AF2D0CB8E6FBF2B6AA3C16A92,14.689,14.689,14.689,1
003459D3CEBE332C60A02D5E07376B7ED1F969FBDE7D5018D64E766B881648CF87744D1DF12ECCEB9944A6A2BA973E23F7A9E6B5E042A5D44FCE36FDAE445E5F,2.831,2.831,2.831,1
0034AE97C645981D66C21E5EE048DC75FECD2372354136BE932D912953BFB75C58F0A6353783DFAC405A756968CBB2D781B8D8ADCE95A40A451463FC29B90B48,6.578,8.09,7.334,2
00365115BDFCB8DB2A2EAFC4413C152AEABCC47AFBB2A0F0D406D8025B20E363EE7C830114F77472DCBE9D169CA22551AC2F4EE154F4D0E862BF4EDB576A87E1,14.14,14.14,14.14,1
0039728A4C9A2766CDB0D6C0C880EB39D11B19CA49CD65BB04FCA06481259149C10BE0B42275AEF314F4A4B5E432248618F41400ADB667037988AAB3F47B6024,15.244,15.244,15.244,1
